date,week_number,sku_id,sku_name,category,warehouse_id,warehouse_name,unit_price,lead_time_days,festival_flag,promo_flag,demand_units,available_stock_units,fulfilled_units,stockout_flag
2024-10-27,43,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,1,1,3153,2576,2576,1
2024-11-03,44,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,1,0,3424,2576,2576,1
2024-11-10,45,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,1,0,2851,2576,2576,1
2024-11-17,46,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1390,2576,1390,0
2024-11-24,47,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1653,3762,1653,0
2024-12-01,48,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1611,2109,1611,0
2024-12-08,49,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1802,3074,1802,0
2024-12-15,50,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1938,3848,1938,0
2024-12-22,51,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,1,0,2976,4486,2976,0
2024-12-29,52,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,1,0,2612,4086,2612,0
2025-01-05,53,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1655,4050,1655,0
2025-01-12,54,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1634,2395,1634,0
2025-01-19,55,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1166,3337,1166,0
2025-01-26,56,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1784,2171,1784,0
2025-02-02,57,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1808,2963,1808,0
2025-02-09,58,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1683,3731,1683,0
2025-02-16,59,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1524,2048,1524,0
2025-02-23,60,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,2011,3100,2011,0
2025-03-02,61,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1977,3665,1977,0
2025-03-09,62,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1585,4264,1585,0
2025-03-16,63,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,1,0,3215,2679,2679,1
2025-03-23,64,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,1,0,3015,2576,2576,1
2025-03-30,65,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,1,2630,2576,2576,1
2025-04-06,66,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,2265,2576,2265,0
2025-04-13,67,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,2436,2887,2436,0
2025-04-20,68,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,2341,3027,2341,0
2025-04-27,69,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,2127,3262,2127,0
2025-05-04,70,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,2566,3711,2566,0
2025-05-11,71,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,2747,3721,2747,0
2025-05-18,72,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,2746,3550,2746,0
2025-05-25,73,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,2216,3380,2216,0
2025-06-01,74,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,2620,3740,2620,0
2025-06-08,75,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,1,3555,3696,3555,0
2025-06-15,76,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,1,3264,2717,2717,1
2025-06-22,77,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,2550,2576,2550,0
2025-06-29,78,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,2021,2602,2021,0
2025-07-06,79,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,2170,3157,2170,0
2025-07-13,80,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1983,3563,1983,0
2025-07-20,81,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1937,4156,1937,0
2025-07-27,82,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,2161,2219,2161,0
2025-08-03,83,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,2052,2634,2052,0
2025-08-10,84,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,2304,3158,2304,0
2025-08-17,85,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1462,3430,1462,0
2025-08-24,86,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,2022,1968,1968,1
2025-08-31,87,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1903,2576,1903,0
2025-09-07,88,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,2032,3249,2032,0
2025-09-14,89,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1823,3793,1823,0
2025-09-21,90,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,1,2447,1970,1970,1
2025-09-28,91,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1816,2576,1816,0
2025-10-05,92,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,1,0,2737,3336,2737,0
2025-10-12,93,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,1,0,3491,3175,3175,1
2025-10-19,94,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,1,0,2844,2576,2576,1
2025-10-26,95,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,1,0,3512,2576,2576,1
2025-11-02,96,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,1,0,3709,2576,2576,1
2025-11-09,97,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,1,0,2887,2576,2576,1
2025-11-16,98,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1823,2576,1823,0
2025-11-23,99,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1983,3329,1983,0
2025-11-30,100,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1744,3922,1744,0
2025-12-07,101,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,2387,2178,2178,1
2025-12-14,102,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,0,0,1820,2576,1820,0
2025-12-21,103,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,1,0,2390,3332,2390,0
2025-12-28,104,SKU01,Lager 650ml,Beer,WH01,North DC,120,5,1,1,3777,3518,3518,1
2024-01-07,1,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1586,2254,1586,0
2024-01-14,2,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1755,3244,1755,0
2024-01-21,3,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1526,4065,1526,0
2024-01-28,4,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1766,2539,1766,0
2024-02-04,5,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1438,3349,1438,0
2024-02-11,6,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1520,4487,1520,0
2024-02-18,7,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1744,2967,1744,0
2024-02-25,8,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1967,3799,1967,0
2024-03-03,9,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2106,4408,2106,0
2024-03-10,10,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,1,0,3012,2302,2302,1
2024-03-17,11,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,1,0,2652,2576,2576,1
2024-03-24,12,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,1,0,3498,2576,2576,1
2024-03-31,13,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1946,2576,1946,0
2024-04-07,14,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2275,3206,2275,0
2024-04-14,15,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2590,3507,2590,0
2024-04-21,16,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2213,3493,2213,0
2024-04-28,17,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2276,3856,2276,0
2024-05-05,18,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2263,4156,2263,0
2024-05-12,19,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2263,4469,2263,0
2024-05-19,20,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,1,2492,2206,2206,1
2024-05-26,21,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1747,2576,1747,0
2024-06-02,22,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2322,3405,2322,0
2024-06-09,23,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,1,2488,3659,2488,0
2024-06-16,24,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2142,3747,2142,0
2024-06-23,25,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2382,4181,2382,0
2024-06-30,26,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1896,4375,1896,0
2024-07-07,27,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,1,3068,2479,2479,1
2024-07-14,28,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2332,2576,2332,0
2024-07-21,29,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1915,2820,1915,0
2024-07-28,30,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2016,3481,2016,0
2024-08-04,31,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1577,4041,1577,0
2024-08-11,32,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,1,1668,2464,1668,0
2024-08-18,33,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,1,1894,3372,1894,0
2024-08-25,34,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2005,4054,2005,0
2024-09-01,35,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1738,2049,1738,0
2024-09-08,36,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1351,2887,1351,0
2024-09-15,37,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1753,4112,1753,0
2024-09-22,38,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2012,2359,2012,0
2024-09-29,39,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1534,2923,1534,0
2024-10-06,40,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,1,0,2564,3965,2564,0
2024-10-13,41,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,1,1,3683,3977,3683,0
2024-10-20,42,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,1,0,3719,2870,2870,1
2024-10-27,43,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,1,0,2567,2576,2567,0
2024-11-03,44,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,1,0,3005,2585,2585,1
2024-11-10,45,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,1,0,3611,2576,2576,1
2024-11-17,46,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,1,2454,2576,2454,0
2024-11-24,47,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1708,2698,1708,0
2024-12-01,48,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2177,3566,2177,0
2024-12-08,49,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1659,3965,1659,0
2024-12-15,50,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1714,2306,1714,0
2024-12-22,51,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,1,0,1974,3168,1974,0
2024-12-29,52,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,1,0,2952,3770,2952,0
2025-01-05,53,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1848,3394,1848,0
2025-01-12,54,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1724,4122,1724,0
2025-01-19,55,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1611,2398,1611,0
2025-01-26,56,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1756,3363,1756,0
2025-02-02,57,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1587,4183,1587,0
2025-02-09,58,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1644,2596,1644,0
2025-02-16,59,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1793,3528,1793,0
2025-02-23,60,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1841,4311,1841,0
2025-03-02,61,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2112,2470,2112,0
2025-03-09,62,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1814,2934,1814,0
2025-03-16,63,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,1,0,2495,3696,2495,0
2025-03-23,64,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,1,0,2714,3777,2714,0
2025-03-30,65,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2360,3639,2360,0
2025-04-06,66,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2215,3855,2215,0
2025-04-13,67,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2344,4216,2344,0
2025-04-20,68,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2605,4448,2605,0
2025-04-27,69,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2278,4419,2278,0
2025-05-04,70,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,1,3236,2141,2141,1
2025-05-11,71,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2274,2576,2274,0
2025-05-18,72,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2180,2878,2180,0
2025-05-25,73,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2896,3274,2896,0
2025-06-01,74,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2660,2954,2660,0
2025-06-08,75,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2702,2870,2702,0
2025-06-15,76,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2024,2744,2024,0
2025-06-22,77,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2167,3296,2167,0
2025-06-29,78,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2366,3705,2366,0
2025-07-06,79,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1945,3915,1945,0
2025-07-13,80,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2217,1970,1970,1
2025-07-20,81,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2173,2576,2173,0
2025-07-27,82,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2356,2979,2356,0
2025-08-03,83,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1672,3199,1672,0
2025-08-10,84,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1809,4103,1809,0
2025-08-17,85,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2012,2294,2012,0
2025-08-24,86,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1668,2858,1668,0
2025-08-31,87,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1630,3766,1630,0
2025-09-07,88,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2063,2136,2063,0
2025-09-14,89,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1341,2649,1341,0
2025-09-21,90,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2112,3884,2112,0
2025-09-28,91,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1714,4348,1714,0
2025-10-05,92,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,1,0,3203,2634,2634,1
2025-10-12,93,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,1,1,4623,2576,2576,1
2025-10-19,94,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,1,0,3509,2576,2576,1
2025-10-26,95,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,1,0,2658,2576,2576,1
2025-11-02,96,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,1,0,2893,2576,2576,1
2025-11-09,97,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,1,0,3249,2576,2576,1
2025-11-16,98,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2003,2576,2003,0
2025-11-23,99,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,1,2370,3149,2370,0
2025-11-30,100,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1807,3355,1807,0
2025-12-07,101,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,1704,4124,1704,0
2025-12-14,102,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,0,0,2201,2420,2201,0
2025-12-21,103,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,1,0,2666,2795,2666,0
2025-12-28,104,SKU02,Lager 330ml,Beer,WH01,North DC,70,5,1,0,3022,2705,2705,1
2024-01-07,1,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,903,1288,903,0
2024-01-14,2,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,771,1857,771,0
2024-01-21,3,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,710,2558,710,0
2024-01-28,4,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,963,1848,963,0
2024-02-04,5,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,1007,2357,1007,0
2024-02-11,6,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,1089,1350,1089,0
2024-02-18,7,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,918,1733,918,0
2024-02-25,8,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,896,2287,896,0
2024-03-03,9,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,1106,1391,1106,0
2024-03-10,10,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,1,0,1485,1757,1485,0
2024-03-17,11,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,1,0,1769,1744,1744,1
2024-03-24,12,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,1,0,1772,1472,1472,1
2024-03-31,13,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,1059,1472,1059,0
2024-04-07,14,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,1252,1885,1252,0
2024-04-14,15,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,1492,2105,1492,0
2024-04-21,16,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,1311,2085,1311,0
2024-04-28,17,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,1218,2246,1218,0
2024-05-05,18,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,1024,2500,1024,0
2024-05-12,19,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,1060,1476,1060,0
2024-05-19,20,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,1351,1888,1351,0
2024-05-26,21,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,1145,2009,1145,0
2024-06-02,22,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,1226,2336,1226,0
2024-06-09,23,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,1291,1110,1110,1
2024-06-16,24,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,1513,1472,1472,1
2024-06-23,25,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,1434,1472,1434,0
2024-06-30,26,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,1304,1510,1304,0
2024-07-07,27,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,1285,1678,1285,0
2024-07-14,28,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,1206,1865,1206,0
2024-07-21,29,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,866,2131,866,0
2024-07-28,30,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,1283,1265,1265,1
2024-08-04,31,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,975,1472,975,0
2024-08-11,32,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,705,1969,705,0
2024-08-18,33,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,1067,1264,1067,0
2024-08-25,34,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,993,1669,993,0
2024-09-01,35,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,955,2148,955,0
2024-09-08,36,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,1049,1193,1049,0
2024-09-15,37,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,958,1616,958,0
2024-09-22,38,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,1006,2130,1006,0
2024-09-29,39,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,947,1124,947,0
2024-10-06,40,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,1,0,1716,1649,1649,1
2024-10-13,41,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,1,0,1504,1472,1472,1
2024-10-20,42,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,1,0,1837,1472,1472,1
2024-10-27,43,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,1,0,2165,1472,1472,1
2024-11-03,44,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,1,0,1672,1472,1472,1
2024-11-10,45,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,1,0,1571,1472,1472,1
2024-11-17,46,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,903,1472,903,0
2024-11-24,47,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,802,2041,802,0
2024-12-01,48,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,948,1239,948,0
2024-12-08,49,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,960,1763,960,0
2024-12-15,50,SKU03,Strong Beer 650ml,Beer,WH01,North DC,140,6,0,0,977,2275,977,0
