sku_id,sku_name,warehouse_id,warehouse_name,avg_weekly_demand,weekly_demand_std,avg_lead_time_days,unit_price,avg_daily_demand,lead_time_weeks,safety_stock,lead_time_demand,reorder_point,annual_demand,annual_holding_cost_per_unit,eoq,current_stock,inventory_gap,reorder_flag,recommended_order_qty,risk_category
SKU05,Premium Lager 500ml,WH01,North DC,1236.46,339.37,6.0,150.0,176.63736263736266,0.8571428571428571,518.42,1059.82,1578.25,64296.0,30.0,654.71,1472,-106.25,Reorder,655.0,Stockout Risk
SKU05,Premium Lager 500ml,WH02,West DC,1420.72,369.28,6.0,150.0,202.96016483516482,0.8571428571428571,564.11,1217.76,1781.88,73877.5,30.0,701.8,1664,-117.88,Reorder,702.0,Stockout Risk
SKU05,Premium Lager 500ml,WH03,South DC,975.32,249.83,6.0,150.0,139.33104395604397,0.8571428571428571,381.65,835.99,1217.63,50716.5,30.0,581.47,1776,558.37,No Reorder,0.0,Healthy
SKU05,Premium Lager 500ml,WH04,East DC,817.18,212.24,6.0,150.0,116.74038461538461,0.8571428571428571,324.22,700.44,1024.66,42493.5,30.0,532.25,1619,594.34,No Reorder,0.0,Excess Inventory
SKU06,Malt Drink 300ml,WH01,North DC,1253.38,348.17,4.0,40.0,179.05357142857142,0.5714285714285714,434.27,716.21,1150.48,65175.5,8.0,1276.47,2273,1122.52,No Reorder,0.0,Healthy
SKU06,Malt Drink 300ml,WH02,West DC,1411.2,372.94,4.0,40.0,201.60027472527472,0.5714285714285714,465.16,806.4,1271.56,73382.5,8.0,1354.46,1717,445.44,No Reorder,0.0,Healthy
SKU06,Malt Drink 300ml,WH03,South DC,956.83,248.79,4.0,40.0,136.68956043956044,0.5714285714285714,310.32,546.76,857.07,49755.0,8.0,1115.29,1789,931.93,No Reorder,0.0,Healthy
SKU06,Malt Drink 300ml,WH04,East DC,820.77,220.2,4.0,40.0,117.25274725274724,0.5714285714285714,274.65,469.01,743.66,42680.0,8.0,1032.96,1053,309.34,No Reorder,0.0,Healthy
SKU07,Soda Mixer 250ml,WH01,North DC,542.22,146.89,4.0,30.0,77.46016483516483,0.5714285714285714,183.21,309.84,493.05,28195.5,6.0,969.46,897,403.95,No Reorder,0.0,Healthy
SKU07,Soda Mixer 250ml,WH02,West DC,634.52,170.46,4.0,30.0,90.6456043956044,0.5714285714285714,212.61,362.58,575.19,32995.0,6.0,1048.73,993,417.81,No Reorder,0.0,Healthy
SKU07,Soda Mixer 250ml,WH03,South DC,421.96,116.3,4.0,30.0,60.28021978021978,0.5714285714285714,145.05,241.12,386.18,21942.0,6.0,855.22,813,426.82,No Reorder,0.0,Healthy
SKU07,Soda Mixer 250ml,WH04,East DC,361.01,112.31,4.0,30.0,51.5728021978022,0.5714285714285714,140.08,206.29,346.37,18772.5,6.0,791.04,625,278.63,No Reorder,0.0,Healthy
SKU08,Lager Can 500ml,WH01,North DC,2196.3,611.35,5.0,100.0,313.75686813186815,0.7142857142857143,852.54,1568.78,2421.32,114207.5,20.0,1068.68,3431,1009.68,No Reorder,0.0,Healthy
SKU08,Lager Can 500ml,WH02,West DC,2472.88,645.17,5.0,100.0,353.26785714285717,0.7142857142857143,899.69,1766.34,2666.03,128589.5,20.0,1133.97,3647,980.97,No Reorder,0.0,Healthy
SKU08,Lager Can 500ml,WH03,South DC,1697.12,509.75,5.0,100.0,242.44642857142858,0.7142857142857143,710.84,1212.23,1923.08,88250.5,20.0,939.42,2816,892.92,No Reorder,0.0,Healthy
SKU08,Lager Can 500ml,WH04,East DC,1409.24,398.24,5.0,100.0,201.32005494505492,0.7142857142857143,555.35,1006.6,1561.95,73280.5,20.0,856.04,1872,310.05,No Reorder,0.0,Healthy
SKU09,Wheat Beer 650ml,WH01,North DC,542.27,144.3,9.0,160.0,77.46703296703296,1.2857142857142858,269.98,697.2,967.18,28198.0,32.0,419.81,838,-129.18,Reorder,420.0,Stockout Risk
SKU09,Wheat Beer 650ml,WH02,West DC,620.05,166.4,9.0,160.0,88.5782967032967,1.2857142857142858,311.31,797.2,1108.52,32242.5,32.0,448.9,872,-236.52,Reorder,449.0,Stockout Risk
SKU09,Wheat Beer 650ml,WH03,South DC,436.13,122.93,9.0,160.0,62.30494505494505,1.2857142857142858,229.99,560.74,790.73,22679.0,32.0,376.49,385,-405.73,Reorder,377.0,Stockout Risk
SKU09,Wheat Beer 650ml,WH04,East DC,364.41,104.59,9.0,160.0,52.059065934065934,1.2857142857142858,195.68,468.53,664.21,18949.5,32.0,344.14,520,-144.21,Reorder,345.0,Stockout Risk
SKU10,Light Beer 330ml,WH01,North DC,1246.56,352.46,6.0,90.0,178.07967032967034,0.8571428571428571,538.42,1068.48,1606.9,64821.0,18.0,848.67,2432,825.1,No Reorder,0.0,Healthy
SKU10,Light Beer 330ml,WH02,West DC,1427.14,427.31,6.0,90.0,203.87774725274724,0.8571428571428571,652.76,1223.27,1876.02,74211.5,18.0,908.06,2414,537.98,No Reorder,0.0,Healthy
SKU10,Light Beer 330ml,WH03,South DC,985.64,283.23,6.0,90.0,140.8063186813187,0.8571428571428571,432.66,844.84,1277.5,51253.5,18.0,754.64,1497,219.5,No Reorder,0.0,Healthy
SKU10,Light Beer 330ml,WH04,East DC,816.76,204.25,6.0,90.0,116.67994505494505,0.8571428571428571,312.02,700.08,1012.1,42471.5,18.0,686.95,1114,101.9,No Reorder,0.0,Healthy
SKU11,Premium Can 330ml,WH01,North DC,1262.88,333.25,6.0,110.0,180.41071428571428,0.8571428571428571,509.07,1082.46,1591.54,65669.5,22.0,772.65,2037,445.46,No Reorder,0.0,Healthy
SKU11,Premium Can 330ml,WH02,West DC,1375.75,397.85,6.0,110.0,196.53571428571428,0.8571428571428571,607.75,1179.21,1786.97,71539.0,22.0,806.45,1993,206.03,No Reorder,0.0,Healthy
SKU11,Premium Can 330ml,WH03,South DC,969.88,274.63,6.0,110.0,138.55494505494505,0.8571428571428571,419.53,831.33,1250.86,50434.0,22.0,677.12,1565,314.14,No Reorder,0.0,Healthy
SKU11,Premium Can 330ml,WH04,East DC,827.42,237.27,6.0,110.0,118.2032967032967,0.8571428571428571,362.46,709.22,1071.68,43026.0,22.0,625.42,960,-111.68,Reorder,626.0,Stockout Risk
SKU12,Cider 500ml,WH01,North DC,554.37,167.08,10.0,130.0,79.19505494505495,1.4285714285714286,329.5,791.95,1121.45,28827.0,26.0,470.9,878,-243.45,Reorder,471.0,Stockout Risk
SKU12,Cider 500ml,WH02,West DC,624.82,171.3,10.0,130.0,89.25961538461539,1.4285714285714286,337.82,892.6,1230.42,32490.5,26.0,499.93,764,-466.42,Reorder,500.0,Stockout Risk
SKU12,Cider 500ml,WH03,South DC,420.28,113.11,10.0,130.0,60.03983516483516,1.4285714285714286,223.07,600.4,823.47,21854.5,26.0,410.01,694,-129.47,Reorder,411.0,Stockout Risk
SKU12,Cider 500ml,WH04,East DC,354.05,89.01,10.0,130.0,50.5782967032967,1.4285714285714286,175.53,505.78,681.32,18410.5,26.0,376.32,472,-209.32,Reorder,377.0,Stockout Risk
